"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"NAGATO272","\NvDriverUpdateCheckDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","04/10/2024 12:25:19","Pronta","Interattivo/Background","03/10/2024 15:40:20","0","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe -d "C:\Program Files\NVIDIA Corporation\NvDriverUpdateCheck" -l 3 -f C:\ProgramData\NVIDIA\NvContainerDriverUpdateCheck.log","C:\Program Files\NVIDIA Corporation\NvContainer","Checks for NVIDIA driver updates before GeForce Experience is first launched","Abilitata","Disabilitata","","Users","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","Ogni giorno ","12:25:19","03/07/2024","N/D","Ogni 1 giorni","N/D","Disabilitata","Disabilitata","Disabilitata","Disabilitata"
"NAGATO272","\NVIDIA GeForce Experience SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","N/D","Pronta","Interattivo/Background","30/11/1999 00:00:00","267011","NVIDIA Corporation",""C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA GeForce Experience.exe" ","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience","N/D","Abilitata","Disabilitata","","Users","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","Quando si verifica un evento","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"NAGATO272","\NvNodeLauncher_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","N/D","Pronta","Interattivo/Background","03/10/2024 15:34:21","0","NVIDIA Corporation","C:\Program Files (x86)\NVIDIA Corporation\NvNode\nvnodejslauncher.exe --launcher=TaskScheduler","C:\Program Files (x86)\NVIDIA Corporation\NvNode","NVIDIA NvNode Launcher","Abilitata","Disabilitata","","Users","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","All'accesso","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"NAGATO272","\NvProfileUpdaterDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","04/10/2024 12:25:51","Pronta","Interattivo/Background","03/10/2024 15:40:20","0","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Update Core\NvProfileUpdater64.exe ","C:\Program Files\NVIDIA Corporation\Update Core","NVIDIA Profile Updater","Abilitata","Disabilitata","","Users","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","Ogni giorno ","12:25:51","03/07/2024","N/D","Ogni 1 giorni","N/D","Disabilitata","Disabilitata","Disabilitata","Disabilitata"
"NAGATO272","\NvProfileUpdaterOnLogon_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","N/D","Pronta","Interattivo/Background","03/10/2024 15:36:22","0","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Update Core\NvProfileUpdater64.exe ","C:\Program Files\NVIDIA Corporation\Update Core","NVIDIA Profile Updater","Abilitata","Disabilitata","","Users","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","All'accesso","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"NAGATO272","\NvTmRep_CrashReport1_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","04/10/2024 12:25:19","Pronta","Interattivo/Background","03/10/2024 15:40:20","0","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\NvBackend\NvTmRep.exe ","C:\Program Files\NVIDIA Corporation\NvBackend","NVIDIA crash reporter","Abilitata","Disabilitata","","Users","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","Ogni giorno ","12:25:19","03/07/2024","N/D","Ogni 1 giorni","N/D","Disabilitata","Disabilitata","Disabilitata","Disabilitata"
"NAGATO272","\NvTmRep_CrashReport2_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","04/10/2024 18:25:19","Pronta","Interattivo/Background","03/10/2024 18:25:20","0","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\NvBackend\NvTmRep.exe ","C:\Program Files\NVIDIA Corporation\NvBackend","NVIDIA crash reporter","Abilitata","Disabilitata","","Users","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","Ogni giorno ","18:25:19","03/07/2024","N/D","Ogni 1 giorni","N/D","Disabilitata","Disabilitata","Disabilitata","Disabilitata"
"NAGATO272","\NvTmRep_CrashReport3_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","04/10/2024 00:25:19","Pronta","Interattivo/Background","03/10/2024 04:41:57","0","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\NvBackend\NvTmRep.exe ","C:\Program Files\NVIDIA Corporation\NvBackend","NVIDIA crash reporter","Abilitata","Disabilitata","","Users","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","Ogni giorno ","00:25:19","03/07/2024","N/D","Ogni 1 giorni","N/D","Disabilitata","Disabilitata","Disabilitata","Disabilitata"
"NAGATO272","\NvTmRep_CrashReport4_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","04/10/2024 06:25:19","Pronta","Interattivo/Background","03/10/2024 15:40:20","0","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\NvBackend\NvTmRep.exe ","C:\Program Files\NVIDIA Corporation\NvBackend","NVIDIA crash reporter","Abilitata","Disabilitata","","Users","Disabilitata","72:00:00","Dati di pianificazione non disponibili in questo formato.","Ogni giorno ","06:25:19","03/07/2024","N/D","Ogni 1 giorni","N/D","Disabilitata","Disabilitata","Disabilitata","Disabilitata"
